±¸ºĞ,À½½Ä¸í,¿µ¹®,À½½Ä¼³¸í
¸é,°¡¶ô±¹¼ö,Thick Noodles in Clear Broth,"Noodles in a clear broth, topped with vegetables such as mushrooms and green onions."
¶±,°¡·¡¶±,Cylindrical Rice Pasta,Cylindrical rice pasta sliced diagonally into ovals. Cooked in a beef broth to make a traditional soup for New Year's Day.
Âò,°¡¿À¸®Âò,Steamed Stingray ,"Marinated stingray steamed and served with thinly sliced mushrooms, vegetables, and julienned egg garnish."
¾î·ù,°¡ÀÚ¹Ì,Sole ,
±¸ÀÌ,°¡ÀÚ¹Ì±¸ÀÌ,Grilled Sole ,"Sole seasoned with salt then grilled, often topped with a spicy soy sauce."
Á£°¥,°¡ÀÚ¹Ì½ÄÇØ,Spicy Fermented Sole,"A spicy dish of sole mixed with cooked millet and white radish, and seasoned with red chili pepper powder and garlic. Famous in the Hamgyeong-do region of North Korea."
Á¶¸²,°¡ÀÚ¹ÌÁ¶¸²,Braised Sole ,"Sole seasoned with soy sauce, sugar, green onions, garlic and red chili pepper powder, then slowly simmered over low heat to reduce the liquid."
Ã¤¼Ò·ù,°¡Áö,Eggplant ,
³ª¹°,°¡Áö³ª¹°,Eggplant Namul,"Eggplant steamed then marinated in soy sauce, green onions, garlic, red chili pepper powder, sesame oil and vinegar."
¼±,°¡Áö¼±,Stuffed Eggplant ,"Eggplants cut lengthwise, filled with seasonings, and simmered in broth."
"Àü,Àû",°¡ÁöÀü,Pan-fried Eggplant ,"Eggplant slices coated with flour, dipped in egg, and pan-fried."
Âò,°¡ÁöÂò,Stuffed Eggplant with Beef ,"Eggplant cut lengthwise, filled with seasoned minced beef, and cooked in boiling water."
ººÀ½,°£ººÀ½,Sauteed Beef Liver ,"Beef or calf liver sauteed with vegetables such as green onions, garlic, ginger and carrots, then seasoned with soy sauce, sugar and pepper."
¾ç³ä,°£Àå,Soy Sauce ,
Á£°¥,°£Àå°ÔÀå,Crab Marinated in Soy Sauce,"A marinated crab dish. The crab is marinated for three days in soy sauce, then the soy sauce is poured out, boiled, and poured back over the crab. It is left to sit for another three days before serving."
"Àü,Àû",°£Àü,Pan-fried Beef Liver ,"Thinly sliced beef liver seasoned with salt and pepper, then coated in flour, dipped in egg, and pan-fried."
È¸,°£È¸,Chopped Raw Beef Liver ,"Fresh raw beef liver and tripe chopped thinly and seasoned with sesame oil, black pepper, salt and a pinch of ground pine nuts over the top."
±¸ÀÌ,°¥ºñ±¸ÀÌ,Marinated and Grilled Beef Short Ribs ,"Beef short ribs marinated in a mixture of soy sauce, green onions, garlic, black pepper, sugar and sesame oil for a few hours, then grilled. Marinated short ribs are called yangnyeom-galbi and ribs which are not marinated are called saenggalbi. Galbi-gui is also known as bulgalbi. This is one of the most popular dishes in Korea."
Âò,°¥ºñÂò,Braised Short Ribs,"Beef short ribs cut into chunks, seasoned with soy sauce, garlic, sugar and other spices, then simmered over a long period with pieces of Korean radish, carrots, chestnuts, jujubes, and ginkgo nuts. The dish is topped with julienned egg garnish and ground pine nuts."
"±¹,ÅÁ",°¥ºñÅÁ/°¥ºø±¹,Short Rib Soup/,
±¸ÀÌ,°¥Ä¡±¸ÀÌ,Grilled Hairtail ,"Hairtail (a long, flat silver fish) cut into 10 centimeter lengths and grilled with salt."
Á¶¸²,°¥Ä¡Á¶¸²,Braised Hairtail ,"Hairtail (a long, fiat silver fish) cut into l0 centimeter lengths and braised with white radish or other vegetables in soy sauce until reduced."
°úÀÏ·ù,°¨,Persimmon ,
¼­·ù,°¨ÀÚ,Potato ,
¶±,°¨ÀÚ¶±,Potato Cake ,Small cakes made of potato starch mixed with a little salt and sugar.
ººÀ½,°¨ÀÚººÀ½,Sauteed Potato ,Julienned potatoes sauteed in oil and served as a side dish.
¶±,°¨ÀÚ¼ÛÆí,Half-moon Potato Cake ,"Cakes made of potato starch with a sweet filling, folded into a half-moon shape and steamed."
"Àü,Àû",°¨ÀÚÀü,Pan-fried Potato ,Thin slices of potato dipped in a flour batter and pan-fried.
Á¶¸²,°¨ÀÚÁ¶¸²,Braised Potato ,"Cubed potatoes braised with fish or dried anchovies, soy sauce and oil. Served as a side dish."
