구분,음식명,영문,음식설명
면,가락국수,Thick Noodles in Clear Broth,"Noodles in a clear broth, topped with vegetables such as mushrooms and green onions."
떡,가래떡,Cylindrical Rice Pasta,Cylindrical rice pasta sliced diagonally into ovals. Cooked in a beef broth to make a traditional soup for New Year's Day.
찜,가오리찜,Steamed Stingray ,"Marinated stingray steamed and served with thinly sliced mushrooms, vegetables, and julienned egg garnish."
어류,가자미,Sole ,
구이,가자미구이,Grilled Sole ,"Sole seasoned with salt then grilled, often topped with a spicy soy sauce."
젓갈,가자미식해,Spicy Fermented Sole,"A spicy dish of sole mixed with cooked millet and white radish, and seasoned with red chili pepper powder and garlic. Famous in the Hamgyeong-do region of North Korea."
조림,가자미조림,Braised Sole ,"Sole seasoned with soy sauce, sugar, green onions, garlic and red chili pepper powder, then slowly simmered over low heat to reduce the liquid."
채소류,가지,Eggplant ,
나물,가지나물,Eggplant Namul,"Eggplant steamed then marinated in soy sauce, green onions, garlic, red chili pepper powder, sesame oil and vinegar."
선,가지선,Stuffed Eggplant ,"Eggplants cut lengthwise, filled with seasonings, and simmered in broth."
"전,적",가지전,Pan-fried Eggplant ,"Eggplant slices coated with flour, dipped in egg, and pan-fried."
찜,가지찜,Stuffed Eggplant with Beef ,"Eggplant cut lengthwise, filled with seasoned minced beef, and cooked in boiling water."
볶음,간볶음,Sauteed Beef Liver ,"Beef or calf liver sauteed with vegetables such as green onions, garlic, ginger and carrots, then seasoned with soy sauce, sugar and pepper."
양념,간장,Soy Sauce ,
젓갈,간장게장,Crab Marinated in Soy Sauce,"A marinated crab dish. The crab is marinated for three days in soy sauce, then the soy sauce is poured out, boiled, and poured back over the crab. It is left to sit for another three days before serving."
"전,적",간전,Pan-fried Beef Liver ,"Thinly sliced beef liver seasoned with salt and pepper, then coated in flour, dipped in egg, and pan-fried."
회,간회,Chopped Raw Beef Liver ,"Fresh raw beef liver and tripe chopped thinly and seasoned with sesame oil, black pepper, salt and a pinch of ground pine nuts over the top."
